HPO_id	phenotype_group_k1000	phenotype_group_k1500
HP:0000533	179	1424
HP:0000534	909	112
HP:0000535	422	422
HP:0000537	29	47
HP:0000538	310	1236
HP:0000539	35	1033
HP:0000540	35	1033
HP:0000541	105	1078
HP:0000542	36	1
HP:0000543	310	1236
HP:0000544	249	603
HP:0000545	35	1033
HP:0000546	220	283
HP:0000548	325	333
HP:0000549	631	1264
HP:0000550	695	173
HP:0000551	389	1281
HP:0000552	814	814
HP:0000553	795	795
HP:0000554	258	911
HP:0000555	621	1401
HP:0000556	325	333
HP:0000557	377	377
HP:0000558	705	352
HP:0000559	268	567
HP:0000561	112	1148
HP:0000563	124	1396
HP:0000564	10	434
HP:0000565	267	133
HP:0000567	388	388
HP:0000568	705	352
HP:0000570	219	66
HP:0000571	219	66
HP:0000572	459	459
HP:0000573	332	19
HP:0000574	422	422
HP:0000575	207	103
HP:0000576	207	103
HP:0000577	174	600
HP:0000579	10	434
HP:0000580	967	967
HP:0000581	534	266
HP:0000582	534	266
HP:0000584	645	645
HP:0000585	268	1463
HP:0000586	27	1229
HP:0000587	310	1236
HP:0000588	388	388
HP:0000589	388	388
HP:0000590	249	603
HP:0000591	94	1261
HP:0000592	94	515
HP:0000593	896	896
HP:0000594	896	896
HP:0000597	249	603
HP:0000598	776	776
HP:0000599	243	369
HP:0000600	251	251
HP:0000601	94	515
HP:0000602	249	603
HP:0000603	207	103
HP:0000605	863	863
HP:0000606	138	223
HP:0000607	970	970
HP:0000608	220	283
HP:0000609	961	239
HP:0000610	636	1274
HP:0000612	621	279
HP:0000613	66	12
HP:0000614	10	434
HP:0000615	621	1401
HP:0000616	658	328
HP:0000617	569	1140
HP:0000618	766	382
HP:0000619	36	1
HP:0000620	10	434
HP:0000621	29	577
HP:0000622	740	1404
HP:0000623	249	603
HP:0000625	734	734
HP:0000627	124	405
HP:0000629	138	223
HP:0000630	88	143
HP:0000631	50	42
HP:0000632	779	389
HP:0000633	779	389
HP:0000634	36	1
HP:0000635	876	876
HP:0000636	734	734
HP:0000637	534	266
HP:0000639	36	1
HP:0000640	633	157
HP:0000641	219	1366
HP:0000642	814	814
HP:0000643	262	1238
HP:0000646	766	382
HP:0000647	268	567
HP:0000648	310	1236
HP:0000649	695	173
HP:0000650	331	331
HP:0000651	740	1210
HP:0000652	734	734
HP:0000653	112	1148
HP:0000654	318	78
HP:0000656	29	1037
HP:0000657	891	891
HP:0000658	507	507
HP:0000659	896	896
HP:0000660	88	182
HP:0000661	534	266
HP:0000662	451	225
HP:0000664	425	766
HP:0000666	633	157
HP:0000667	94	515
HP:0000668	150	589
HP:0000670	370	1171
HP:0000674	150	589
HP:0000675	114	169
HP:0000676	329	181
HP:0000677	150	589
HP:0000678	417	544
HP:0000679	884	884
HP:0000680	906	906
HP:0000682	370	1171
HP:0000683	370	1483
HP:0000684	906	906
HP:0000685	370	1171
HP:0000687	417	544
HP:0000689	417	544
HP:0000690	329	181
HP:0000691	114	169
HP:0000692	417	544
HP:0000694	308	1075
HP:0000695	462	230
HP:0000696	906	906
HP:0000698	114	169
HP:0000699	417	717
HP:0000700	341	341
HP:0000703	308	1075
HP:0000704	254	611
HP:0000705	489	489
HP:0000706	462	230
HP:0000707	751	93
HP:0000708	66	12
HP:0000709	637	1276
HP:0000710	66	12
HP:0000711	66	1158
HP:0000712	271	131
HP:0000713	66	1158
HP:0000716	271	131
HP:0000717	394	196
HP:0000718	66	1032
HP:0000719	271	1353
HP:0000720	66	1032
HP:0000721	66	12
HP:0000722	66	1189
HP:0000723	394	196
HP:0000725	637	1276
HP:0000726	962	962
HP:0000727	962	962
HP:0000728	394	196
HP:0000729	394	196
HP:0000732	66	12
HP:0000733	408	1397
HP:0000734	271	131
HP:0000735	394	196
HP:0000736	66	12
HP:0000737	66	1032
HP:0000738	66	1409
HP:0000739	271	131
HP:0000740	271	131
HP:0000741	66	1032
HP:0000742	950	950
HP:0000743	7	5
HP:0000744	66	12
HP:0000745	66	1032
HP:0000746	66	12
HP:0000748	271	1353
HP:0000749	271	1353
HP:0000750	472	472
HP:0000751	66	12
HP:0000752	913	913
HP:0000753	394	196
HP:0000756	271	131
HP:0000757	66	12
HP:0000758	394	196
HP:0000759	556	1113
HP:0000762	64	533
HP:0000763	159	1207
HP:0000764	761	761
HP:0000765	505	890
HP:0000766	505	890
HP:0000767	505	890
HP:0000768	505	1227
HP:0000769	284	70
HP:0000771	115	92
HP:0000772	140	189
HP:0000773	404	404
HP:0000774	253	1282
HP:0000775	275	275
HP:0000776	275	275
HP:0000777	830	830
HP:0000778	894	446
HP:0000782	722	360
HP:0000786	468	468
HP:0000787	698	698
HP:0000789	868	868
HP:0000790	201	24
HP:0000791	698	698
HP:0000793	764	764
HP:0000794	620	1241
HP:0000795	777	777
HP:0000796	375	22
HP:0000798	106	694
HP:0000799	14	54
HP:0000800	14	619
HP:0000802	241	821
HP:0000803	14	1391
HP:0000804	698	698
HP:0000805	609	304
HP:0000807	490	490
HP:0000808	490	490
HP:0000809	384	1272
HP:0000811	83	400
HP:0000812	515	1031
HP:0000813	89	469
HP:0000815	61	1481
HP:0000816	358	494
HP:0000817	394	196
HP:0000818	830	830
HP:0000819	273	595
HP:0000820	830	830
HP:0000821	215	725
HP:0000822	781	390
HP:0000823	491	491
HP:0000824	483	483
HP:0000825	691	691
HP:0000826	61	1122
HP:0000828	689	344
HP:0000829	689	344
HP:0000830	483	483
HP:0000831	273	595
HP:0000832	215	725
HP:0000834	286	406
HP:0000835	291	780
HP:0000836	215	725
HP:0000837	837	837
HP:0000839	755	755
HP:0000840	61	1481
HP:0000841	772	772
HP:0000842	691	691
HP:0000843	689	344
HP:0000845	233	116
HP:0000846	286	406
HP:0000847	772	772
HP:0000848	772	772
HP:0000849	291	780
HP:0000851	215	725
HP:0000852	689	344
HP:0000853	188	526
HP:0000854	266	17
HP:0000855	273	595
HP:0000857	273	595
HP:0000858	468	468
HP:0000859	456	456
HP:0000860	315	632
HP:0000863	104	1102
HP:0000864	830	830
HP:0000866	188	526
HP:0000867	689	344
HP:0000868	868	868
HP:0000869	468	468
HP:0000870	692	692
HP:0000871	483	483
HP:0000872	74	67
HP:0000873	104	1102
HP:0000875	781	390
HP:0000876	468	468
HP:0000877	273	595
HP:0000878	404	404
HP:0000879	407	11
HP:0000882	722	360
HP:0000883	140	189
HP:0000884	407	11
HP:0000885	140	1414
HP:0000886	140	189
HP:0000887	140	1499
HP:0000888	140	189
HP:0000889	820	409
HP:0000890	820	409
HP:0000891	869	869
HP:0000892	140	189
HP:0000893	140	189
HP:0000894	820	409
HP:0000895	820	409
HP:0000896	719	179
HP:0000897	140	189
HP:0000900	140	189
HP:0000902	140	189
HP:0000904	140	189
HP:0000905	164	1194
HP:0000907	140	1499
HP:0000910	140	189
HP:0000911	749	749
HP:0000912	722	360
HP:0000913	140	189
HP:0000914	140	1090
HP:0000915	407	11
HP:0000916	820	409
HP:0000917	505	1227
HP:0000918	719	179
HP:0000919	140	189
HP:0000920	140	189
HP:0000921	404	404
HP:0000922	140	1499
HP:0000923	140	189
HP:0000924	308	1075
HP:0000925	482	735
HP:0000926	999	999
HP:0000927	323	323
HP:0000929	713	713
HP:0000930	710	354
HP:0000931	710	354
HP:0000932	710	354
HP:0000933	109	991
HP:0000934	544	1089
HP:0000935	476	216
HP:0000938	360	89
HP:0000939	360	89
HP:0000940	428	1422
HP:0000941	428	1422
HP:0000943	21	291
HP:0000944	428	1422
HP:0000946	401	401
HP:0000947	420	1014
HP:0000951	411	1434
HP:0000952	555	277
HP:0000953	463	727
HP:0000954	135	597
HP:0000956	92	53
HP:0000957	461	1231
HP:0000958	157	286
HP:0000960	461	46
HP:0000961	555	277
HP:0000962	92	53
HP:0000963	167	1433
HP:0000964	942	470
HP:0000965	71	284
HP:0000966	616	307
HP:0000967	700	700
HP:0000968	157	286
HP:0000969	155	8
HP:0000970	616	307
HP:0000971	593	593
HP:0000972	92	1034
HP:0000973	122	633
HP:0000974	122	971
HP:0000975	616	307
HP:0000976	942	470
HP:0000977	122	971
HP:0000978	339	1385
HP:0000979	339	1385
HP:0000980	411	852
HP:0000982	92	53
HP:0000987	727	1456
HP:0000988	306	1200
HP:0000989	306	32
HP:0000991	461	1205
HP:0000992	157	1202
HP:0000993	461	46
HP:0000995	463	727
HP:0000996	256	256
HP:0000997	463	122
HP:0000998	425	766
HP:0000999	309	1018
HP:0001000	463	727
HP:0001001	9	144
HP:0001003	518	128
HP:0001004	155	8
HP:0001005	555	277
HP:0001007	344	454
HP:0001008	463	122
HP:0001009	71	284
HP:0001010	427	106
HP:0001012	602	602
HP:0001013	461	1205
HP:0001014	71	284
HP:0001015	354	87
HP:0001017	411	852
HP:0001018	135	40
HP:0001019	306	32
HP:0001022	409	204
HP:0001024	461	46
HP:0001025	520	1042
HP:0001026	461	46
HP:0001027	122	971
HP:0001028	256	256
HP:0001029	157	286
HP:0001030	157	286
HP:0001031	602	602
HP:0001032	790	790
HP:0001033	157	286
HP:0001034	518	128
HP:0001036	92	53
HP:0001038	157	286
HP:0001039	461	1205
HP:0001040	544	1089
HP:0001041	824	824
HP:0001042	135	40
HP:0001043	787	393
HP:0001045	463	122
HP:0001046	516	1332
HP:0001047	942	470
HP:0001048	256	256
HP:0001049	790	790
HP:0001050	157	286
HP:0001051	942	470
HP:0001052	81	587
HP:0001053	461	46
HP:0001054	81	306
HP:0001055	306	32
HP:0001056	461	46
HP:0001057	167	1433
HP:0001058	157	286
HP:0001059	544	1089
HP:0001060	544	1089
HP:0001061	306	32
HP:0001062	81	306
HP:0001063	955	955
HP:0001065	167	229
HP:0001067	39	1085
HP:0001069	616	307
HP:0001070	463	122
HP:0001071	71	284
HP:0001072	92	53
HP:0001073	167	229
HP:0001074	81	306
HP:0001075	167	229
HP:0001076	256	256
HP:0001080	516	1332
HP:0001081	132	168
HP:0001082	132	1146
